"SubgroupID","ID_RSSD"
"145","1020180"
"145","848350"
"146","1020180"
"146","888057"
"147","1020201"
"147","449001"
"148","1020201"
"148","701914"
"149","1020395"
"149","1079450"
"150","1020395"
"150","318237"
"151","1020395"
"151","327136"
"152","1020395"
"152","655839"
"153","1020395"
"153","448938"
"154","1020395"
"154","562834"
"155","1020582"
"155","725143"
"156","1020667"
"156","901741"
"157","1020676"
"157","1201774"
"158","1055708"
"158","266253"
"159","1055726"
"159","984258"
"160","1055762"
"160","830355"
"161","1055838"
"161","206950"
"162","1055847"
"162","97055"
"163","1055865"
"163","1017854"
"164","1056125"
"164","416357"
"165","1056134"
"165","245351"
"166","1056143"
"166","711753"
"167","1032464"
"167","173717"
"168","1032464"
"168","1230457"
"169","1032464"
"169","464116"
"170","1032473"
"170","312860"
"171","1032473"
"171","911713"
"172","1032473"
"172","214807"
"173","1032473"
"173","516006"
"174","1045848"
"174","1042614"
"175","1045848"
"175","1042726"
"176","1045848"
"176","1044412"
"177","1045848"
"177","1043134"
"178","1045848"
"178","1042418"
"179","1045848"
"179","1043116"
"180","1068968"
"180","1068799"
"181","1068968"
"181","1068922"
"182","1056330"
"182","634955"
"183","1056415"
"183","482053"
"184","1056581"
"184","481551"
"185","1056590"
"185","508346"
"186","1056648"
"186","1008151"
"187","1056657"
"187","530655"
"188","1056684"
"188","829050"
"189","1056723"
"189","129358"
"190","1056732"
"190","110356"
"191","1056732"
"191","387055"
"192","1056769"
"192","287959"
"193","1056835"
"193","970653"
"194","1056983"
"194","508355"
"195","1056992"
"195","394259"
"196","1057065"
"196","826451"
"197","1057113"
"197","542153"
"198","1057168"
"198","291059"
"199","1057186"
"199","420653"
"200","1057216"
"200","284556"
"201","1057243"
"201","868956"
"202","1057252"
"202","151957"
"203","1057289"
"203","51459"
"204","1057430"
"204","576952"
"205","1057515"
"205","736550"
"206","1057588"
"206","361055"
"207","1057636"
"207","328058"
"208","1057784"
"208","483751"
"209","1035157"
"209","645317"
"210","1069714"
"210","586027"
"211","1069778"
"211","817824"
"212","1048504"
"212","306908"
"213","1048513"
"213","620211"
"214","1048728"
"214","505"
"215","1048764"
